1,Alexis Lafreniere,LW,Rimouski (QMJHL)
2,Quinton Byfield,C,Sudbury (OHL)
3,Tim Stutzle,LW,Adler Mannheim (DEL)
4,Lucas Raymond,LW,Frolunda (Swe.)
5,Jamie Drysdale,D,Erie (OHL)
6,Marco Rossi,C,Ottawa (OHL)
7,Cole Perfetti,C,Saginaw (OHL)
8,Alexander Holtz,RW,Djurgarden (Swe.)
9,Anton Lundell,C,HIFK (Fin.)
10,Yaroslav Askarov,G,SKA-Neva (Rus.)
11,Jake Sanderson,D,U.S. NTDP (USHL)
12,Jack Quinn,RW,Ottawa (OHL)
13,Dylan Holloway,C,Wisconsin (BigTen)
14,William Wallinder,D,Modo (Swe.)
15,Helge Grans,D,Malmo (SHL)
16,Seth Jarvis,C,Portland (WHL)
17,Dawson Mercer,C,Chicoutimi (QMJHL)
18,Mavrik Bourque,C,Shawinigan (QMJHL)
19,Kaiden Guhle,D,Prince Albert (WHL)
20,Connor Zary,C,Kamloops (WHL)
21,Justin Barron,D,Halifax (QMJHL)
22,Braden Schneider,D,Brandon (WHL)
23,Zion Nybeck,LW,HV71 (Swe.)
24,Noel Gunler,RW,Lulea (Swe.)
25,JJ Peterka,RW,EHC Munchen (DEL)
26,Ryan O'Rourke,D,Sault Ste. Marie (OHL)
27,Jan Mysak,C,Hamilton (OHL)
28,Hendrix Lapierre,C,Chicoutimi (QMJHL)
29,Ty Foerster,RW,Barrie (OHL)
30,Rodion Amirov,LW,Ufa (Rus.)
31,Brendan Brisson,C,Chicago (USHL)
32,Martin Chromiak,RW,Kingston (OHL)
33,Tyler Kleven,D,U.S. NTDP (USHL)
34,Lukas Cormier,D,Charlottetown (QMJHL)
35,Thomas Bordeleau,C,U.S. NTDP (USHL)
36,Vasily Ponomarev,C,Shawinigan (QMJHL)
37,Shakir Mukhamadullin,D,Ufa (KHL)
38,Ty Smilanic,C,U.S. NTDP (USHL)
39,Jacob Perreault,RW,Sarnia (OHL)
40,Lukas Reichel,LW,Eisbaren Berlin (DEL)
41,Sam Colangelo,RW,Chicago (USHL)
42,Daemon Hunt,D,Moose Jaw (WHL)
43,Emil Andrae,D,HV71 (Swe.)
44,Jeremie Poirier,D,Saint John (QMJHL)
45,Ridly Greig,C,Brandon (WHL)
46,Yan Kuznetsov,D,UConn (Hockey East)
47,Jake Neighbours,LW,Edmonton (WHL)
48,Jean-Luc Foudy,C,Windsor (OHL)
49,Daniil Gushchin,LW,Muskegon (USHL)
50,Topi Niemela,D,Karpat (Fin.)
51,Jaromir Pytlik,C,Sault Ste. Marie (OHL)
52,Michael Benning,D,Sherwood Park (AJHL)
53,Will Cuylle,LW,Windsor (OHL)
54,Theo Niederbach,C,Frolunda (Swe.)
55,Antonio Stranges,LW,London (OHL)
56,Nico Daws,G,Guelph (OHL)
57,Brett Berard,LW,U.S. NTDP (USHL)
58,Alexander Pashin,RW,Ufa (Rus.)
59,Luke Evangelista,RW,London (OHL)
60,Luke Tuch,LW,U.S. NTDP (USHL)
61,Carter Savoie,LW,Sherwood Park (AJHL)
62,Calle Clang,G,Rogle (Swe.)
63,Connor McClennon,RW,Winnipeg (WHL)
64,Roni Hirvonen,C,Assat (Fin.)
65,Mitch Miller,D,Tri-City (USHL)
66,Carson Bantle,LW,Madison (USHL)
67,Ethan Edwards,D,Spruce Grove (AJHL)
68,Colby Ambrosio,C,Tri-City (USHL)
69,Joel Blomqvist,G,Karpat Oulu (Fin.)
70,Evan Vierling,C,Barrie (OHL)
71,Egor Sokolov,LW,Cape Breton (QMJHL)
72,Luke Prokop,D,Calgary (WHL)
73,Ozzy Wiesblatt,RW,Prince Albert (WHL)
74,Oliver Suni,RW,Oshawa (OHL)
75,Dylan Peterson,C,U.S. NTDP (USHL)
76,Justin Sourdif,RW,Vancouver (WHL)
77,Sean Farrell,C,Chicago (USHL)
78,Joni Jurmo,D,Jokerit (Fin.)
79,Wyatt Kaiser,D,Andover (Minn. HS)
80,Drew Commesso,G,U.S. NTDP (USHL)
81,Ryan Francis,RW,Cape Breton (QMJHL)
82,Ian Moore,D,St. Mark's (Mass. HS)
83,Artem Schlaine,C,Shattuck-St. Mary's (Minn. HS)
84,Maxim Groshev,RW,Neftekhimik (KHL)
85,Veeti Miettinen,RW,Kiekko-Espoo (Fin.)
86,Ryder Rolston,RW,Waterloo (USHL)
87,Donovan Sebrango,D,Kitchener (OHL)
88,Eemil Viro,D,TPS (Fin.)
89,Daniel Torgersson,LW,Frolunda (Swe.)
90,James Hardie,LW,Mississauga (OHL)
91,William Villeneuve,D,Saint John (QMJHL)
92,Zach Uens,D,Merrimack College (Hockey East)
93,Adam Raska,RW,Rimouski (QMJHL)
94,Lucas Mercuri,C,Salisbury (Conn. HS)
95,Kristian Tanus,C,Jukurit (Fin.)
96,Kasper Simontaival,RW,Tappara (Fin.)
97,Blake Biondi,C,Hermantown (Minn. HS)
98,Alex Laferriere,RW,Des Moines (USHL)
99,Ty Tullio,RW,Oshawa (OHL)
100,Thimo Nickl,D,Drummondville (QMJHL)
101,Marat Khusnutdinov,C,SKA-1946 (Rus.)
102,Jan Bednar,G,Karlovy Vary (Cze.)
103,Christoffer Sedoff,D,Red Deer (WHL)
104,Gunnarwolfe Fontaine,LW,Chicago (USHL)
105,Stephen Halliday,LW,Dubuque (USHL)
106,Dylan Garand,G,Kamloops (WHL)
107,Jake Ratzlaff,D,Rosemount (Minn. HS)
108,Maxim Krovyakov,C,SKA-1946 (Rus.)
109,Jack Finley,C,Spokane (WHL)
110,Kasper Puutio,D,Everett (WHL)
111,Roby Jarventie,LW,Koovee (Fin.)
112,William Dufour,RW,Drummondville (QMJHL)
113,Nick Malik,G,Sault Ste. Marie (OHL)
114,Brandon Coe,RW,North Bay (OHL)
115,Jake Truscott,D,U.S. NTDP (USHL)
116,Samuel Hlavaj,G,Sherbrooke (QMJHL)
117,Joonas Oden,LW,KooKoo (Fin.)
118,Winter Wallace,C,Shattuck-St. Mary's (Minn. HS)
119,Cross Hanas,LW,Portland (WHL)
120,Emil Heineman,LW,Leksand (Swe.)
