1,Quinton Byfield,C,OHL
2,Alexis Lafrenière,LW,QMJHL
3,Marco Rossi,C,OHL
4,Lucas Raymond,LW,SHL
5,Tim Stützle,C,DEL
6,Alexander Holtz,RW,SuperElit
7,Jamie Drysdale,RHD,OHL
8,Cole Perfetti,C,OHL
9,Anton Lundell,C,Liiga
10,Seth Jarvis,RW,WHL
11,Yaroslav Askarov,G,VHL
12,Jake Sanderson,LHD,USNTDP
13,Rodion Amirov,LW,KHL
14,Noel Gunler,RW,SHL
15,Dawson Mercer,RW,QMJHL
16,Emil Andrae,LHD,SuperElit
17,Zion Nybeck,RW,SuperElit
18,Jack Quinn,RW,OHL
19,Mavrik Bourque,C,QMJHL
20,Connor Zary,C,WHL
21,Dylan Holloway,C,NCAA
22,Kaiden Guhle,LHD,WHL
23,Willam Wallinder,LHD,Allsvenskan
24,Topi Niemelä,RHD,Liiga
25,Roby Järventie,LW,Mestis
26,Brendan Brisson,LW,USHL
27,Jérémie Poirier,LHD,QMJHL
28,Jan Mysak,C,OHL
29,Helge Grans,RHD,SuperElit
30,Jacob Perreault,C,OHL
31,Marat Khusnutdinov,C,MHL
32,Roni Hirvonen,C,Liiga
33,Theodor Niederbach,C,SuperElit
34,Hendrix Lapierre,C,QMJHL
35,Thomas Bordeleau,C,USNTDP
36,John-Jason-Peterka,LW,DEL
37,Daniel Torgersson, W ,SuperElit
38,Martin Chromiak,LW,OHL
39,Vasili Ponomaryov,C,QMJHL
40,Ryan O'Rourke,LHD,OHL
41,Lukas Cormier,LHD,QMJHL
42,Tyson Foerster,C,OHL
43,Ty Smilanic,C,USNTDP
44,Justin Sourdif,C,WHL
45,Braden Schneider,RHD,WHL
46,Ozzy Wiesblatt,RW,WHL
47,Brett Berard,LW,USHL
48,Ridly Greig,LW,WHL
49,Kasper Simontaival,RW,Metis
50,Sean Farrell,LW,USHL
51,Lukas Reichel,LW,DEL
52,Jean-Luc Foudy,C,OHL
53,Luke Evangelista,RW,OHL
54,Veeti Miettinen,RW,Jr. A SM-liiga
55,Anton Johannsesson,LHD,SuperElit
56,Eemil Viro,LHD,Jr. SM-liiga
57,Joni Jurmo,LHD,Jr. A SM-liiga
58,Calle Clang,G,SuperElit
59,Colby Ambrosio,C,USHL
60,Jake Neighbours,LW,WHL
61,Emil Heineman,LW,SuperElit
62,Sam Colangelo,RW,USHL
63,Daniil Gushchin,RW,USHL
